type,weight,date,description,event_or_notes,referral_agency
Out,16.62,21-Aug-19,Distributed to other organisation (Red Box Project),,
Out,97.66,21-Aug-19,Supplied to 'Stanley',,
In,46.54,21-Aug-19,Donation from 'Tesco - Newton Aycliffe',,
Out,26.82,21-Aug-19,Supplied to 'Durham Elvet ',,
Out,251.8,21-Aug-19,Supplied to 'Ferryhill',,
In,35,21-Aug-19,Donation from 'Cornerstone Church',,
Out,145.44,21-Aug-19,Supplied to 'Durham Drop In',,
Out,174.52,21-Aug-19,Supplied to 'Newton Aycliffe',,
Out,156.62,21-Aug-19,Supplied to 'Annfield Plain',,
Out,36.04,21-Aug-19,Distributed to other organisation (A Way Out),,
Out,239.85,20-Aug-19,Supplied to 'Spennymoor',,
In,20.98,20-Aug-19,"Donation from 'St Cuthberts C of E Church, Durham'",,
In,30.14,20-Aug-19,"Donation from 'Christ Church, Lumley'",,
In,13,20-Aug-19,"Donation from 'St Bede's RC Church, Sacriston '",,
In,3.5,20-Aug-19,"Donation from 'St John's C of E Church, Neville's Cross'",,
In,15.26,20-Aug-19,Donation from 'Elvet Methodist Church',,
In,15.4,20-Aug-19,Donation from 'Sacriston Methodist Church',,
In,30.9,20-Aug-19,Donation from 'Sunderland Foodbank',,
Out,96.32,20-Aug-19,Supplied to 'Shildon ',,
Out,309.42,20-Aug-19,Distributed to other organisation (A Way Out),,
Out,129.04,20-Aug-19,Supplied to 'Peterlee',,
Out,64.64,20-Aug-19,Distributed to other organisation (PAD B),,
Out,6.82,20-Aug-19,Supplied to 'Peterlee',,
In,97.18,19-Aug-19,Donation from 'Tesco - Chester le Street',,
In,21.98,19-Aug-19,Donation from 'Sainsbury's Newcastle Road',,
In,127.54,19-Aug-19,Donation from 'Tesco - Durham Dragonville',,
In,98.38,19-Aug-19,Donation from 'Sainsbury's - Pity Me (Store 4325)',,
In,15.16,19-Aug-19,"Donation from 'Rotary Club, Stanley'",,
In,1.5,19-Aug-19,Donation from 'Anonymous',,
In,65.5,19-Aug-19,Donation from 'Anonymous',,
Out,113.03,16-Aug-19,Supplied to 'Chester le Street',,
In,9,16-Aug-19,"Donation from 'Aldi, Chester le Street'",,
In,47.38,15-Aug-19,Donation from 'Tesco - Newton Aycliffe',,
In,254.36,15-Aug-19,Donation from 'Tesco - Durham Dragonville',,
In,106.8,15-Aug-19,Donation from 'Tesco - Chester le Street',,
In,116.74,15-Aug-19,Donation from 'N Power',,
In,23.56,15-Aug-19,"Donation from 'St Oswald's C of E Church, Durham'",,
In,89.3,15-Aug-19,Donation from 'Sainsbury's - Pity Me (Store 4325)',,
Out,12.58,15-Aug-19,Supplied to 'Stanley',,
Out,207.34,15-Aug-19,Supplied to 'Chester le Street',,
Out,264.26,15-Aug-19,Supplied to 'Shildon ',,
Out,183.68,15-Aug-19,Supplied to 'Ferryhill',,
